Student_ID,Session_ID,Timestamp,Activity_Type,Outcome
1,14,2024-01-01 01:52:00,Read Material,Success
1,44,2024-01-01 02:26:00,Forum Discussion,Failure
1,193,2024-01-01 03:12:00,Watch Video,Failure
1,89,2024-01-01 03:50:00,Attempt Quiz,Completed
1,239,2024-01-01 04:34:00,Request Hint,Completed
1,159,2024-01-01 04:50:00,Read Material,In Progress
1,12,2024-01-01 08:04:00,Submit Assignment,Completed
1,128,2024-01-01 08:06:00,Request Hint,Completed
1,20,2024-01-01 08:11:00,Submit Assignment,Failure
1,229,2024-01-01 08:55:00,Attempt Quiz,Failure
1,281,2024-01-01 11:45:00,Watch Video,Failure
1,101,2024-01-01 12:18:00,Read Material,Success
1,61,2024-01-01 13:26:00,Forum Discussion,Success
1,231,2024-01-01 13:47:00,Watch Video,Failure
1,116,2024-01-01 15:30:00,Watch Video,In Progress
1,8,2024-01-01 15:53:00,Watch Video,Completed
1,38,2024-01-01 17:47:00,Submit Assignment,Failure
1,255,2024-01-01 18:34:00,Request Hint,Failure
1,81,2024-01-01 20:50:00,Attempt Quiz,Failure
1,279,2024-01-01 20:58:00,Submit Assignment,In Progress
1,124,2024-01-01 21:57:00,Watch Video,Completed
1,51,2024-01-01 22:17:00,Forum Discussion,Completed
1,273,2024-01-01 22:27:00,Attempt Quiz,Failure
1,294,2024-01-01 23:29:00,Request Hint,In Progress
1,127,2024-01-02 01:25:00,Request Hint,Completed
1,32,2024-01-02 08:00:00,Read Material,Completed
2,154,2024-01-01 00:16:00,Request Hint,Success
2,90,2024-01-01 00:20:00,Attempt Quiz,Failure
2,183,2024-01-01 00:58:00,Submit Assignment,Completed
2,213,2024-01-01 01:12:00,Attempt Quiz,Failure
2,73,2024-01-01 03:38:00,Request Hint,In Progress
2,102,2024-01-01 03:43:00,Read Material,Completed
2,132,2024-01-01 03:44:00,Watch Video,In Progress
2,143,2024-01-01 03:52:00,Request Hint,Success
2,39,2024-01-01 04:49:00,Request Hint,Failure
2,208,2024-01-01 06:42:00,Attempt Quiz,Success
2,246,2024-01-01 09:01:00,Attempt Quiz,Completed
2,227,2024-01-01 09:28:00,Forum Discussion,Success
2,283,2024-01-01 16:07:00,Request Hint,Failure
2,284,2024-01-01 18:05:00,Read Material,Success
2,63,2024-01-01 18:08:00,Read Material,Success
2,109,2024-01-01 20:05:00,Forum Discussion,Failure
2,100,2024-01-01 21:20:00,Watch Video,In Progress
2,63,2024-01-01 23:28:00,Read Material,Failure
2,114,2024-01-01 23:34:00,Submit Assignment,Failure
2,27,2024-01-02 00:47:00,Attempt Quiz,Success
2,160,2024-01-02 06:13:00,Submit Assignment,Success
2,179,2024-01-02 07:38:00,Read Material,Completed
2,289,2024-01-02 08:52:00,Request Hint,Failure
3,233,2024-01-01 00:13:00,Read Material,In Progress
3,188,2024-01-01 00:44:00,Read Material,Completed
3,120,2024-01-01 02:25:00,Forum Discussion,In Progress
3,145,2024-01-01 03:16:00,Forum Discussion,Completed
3,245,2024-01-01 03:39:00,Request Hint,In Progress
3,21,2024-01-01 04:18:00,Forum Discussion,Failure
3,118,2024-01-01 05:01:00,Read Material,Success
3,128,2024-01-01 11:46:00,Request Hint,Success
3,132,2024-01-01 12:20:00,Request Hint,In Progress
3,51,2024-01-01 13:35:00,Watch Video,Failure
3,220,2024-01-01 14:03:00,Submit Assignment,In Progress
3,101,2024-01-01 16:13:00,Forum Discussion,Failure
3,139,2024-01-01 17:11:00,Request Hint,In Progress
3,270,2024-01-01 17:56:00,Watch Video,In Progress
3,214,2024-01-01 22:31:00,Forum Discussion,In Progress
3,96,2024-01-02 01:33:00,Attempt Quiz,Success
3,28,2024-01-02 02:45:00,Watch Video,Completed
3,233,2024-01-02 03:32:00,Forum Discussion,In Progress
3,199,2024-01-02 04:20:00,Read Material,Failure
3,241,2024-01-02 04:38:00,Request Hint,Success
3,202,2024-01-02 07:59:00,Submit Assignment,Success
3,126,2024-01-02 08:28:00,Submit Assignment,Success
3,262,2024-01-02 08:35:00,Read Material,Completed
4,122,2024-01-01 00:51:00,Watch Video,Completed
4,207,2024-01-01 01:11:00,Read Material,In Progress
4,293,2024-01-01 01:15:00,Watch Video,Success
4,161,2024-01-01 02:42:00,Read Material,Failure
4,42,2024-01-01 06:01:00,Attempt Quiz,Failure
4,133,2024-01-01 08:57:00,Watch Video,Completed
4,22,2024-01-01 11:22:00,Attempt Quiz,Completed
4,100,2024-01-01 13:51:00,Read Material,Failure
4,86,2024-01-01 14:44:00,Attempt Quiz,Failure
4,144,2024-01-01 15:07:00,Read Material,Success
4,125,2024-01-01 15:08:00,Forum Discussion,Success
4,163,2024-01-01 17:01:00,Attempt Quiz,In Progress
4,124,2024-01-01 17:22:00,Read Material,In Progress
4,174,2024-01-01 18:54:00,Submit Assignment,Success
4,139,2024-01-01 22:26:00,Watch Video,Completed
4,141,2024-01-02 00:05:00,Request Hint,In Progress
4,54,2024-01-02 02:54:00,Request Hint,In Progress
4,104,2024-01-02 04:08:00,Attempt Quiz,Completed
4,169,2024-01-02 07:28:00,Request Hint,Success
5,261,2024-01-01 02:02:00,Attempt Quiz,Completed
5,156,2024-01-01 02:27:00,Read Material,In Progress
5,7,2024-01-01 07:38:00,Watch Video,In Progress
5,273,2024-01-01 10:50:00,Watch Video,Failure
5,149,2024-01-01 11:10:00,Watch Video,In Progress
5,146,2024-01-01 13:07:00,Read Material,Failure
5,198,2024-01-01 13:34:00,Forum Discussion,Failure
5,182,2024-01-01 14:08:00,Request Hint,Failure
5,117,2024-01-01 14:42:00,Attempt Quiz,Success
5,154,2024-01-01 15:22:00,Read Material,Completed
5,92,2024-01-01 15:31:00,Attempt Quiz,Failure
5,252,2024-01-01 17:37:00,Read Material,Completed
5,83,2024-01-01 18:01:00,Submit Assignment,Success
5,35,2024-01-01 18:49:00,Attempt Quiz,In Progress
5,265,2024-01-01 19:45:00,Submit Assignment,Completed
5,45,2024-01-01 19:59:00,Read Material,Success
5,51,2024-01-01 20:36:00,Watch Video,Failure
5,298,2024-01-01 23:39:00,Attempt Quiz,Failure
5,170,2024-01-02 03:28:00,Submit Assignment,In Progress
5,25,2024-01-02 04:22:00,Watch Video,Failure
5,267,2024-01-02 04:23:00,Submit Assignment,In Progress
5,8,2024-01-02 05:02:00,Request Hint,Failure
5,156,2024-01-02 05:10:00,Submit Assignment,Completed
5,91,2024-01-02 05:59:00,Attempt Quiz,In Progress
